0,Source name,"","","","","",1,General
1,Number of persons,"","","","","",1,Person
2,Number of persons by gender,gender_concept_id,"","","","",1,Person
3,Number of persons by year of birth,year_of_birth,"","","","",1,Person
4,Number of persons by race,race_concept_id,"","","","",1,Person
5,Number of persons by ethnicity,ethnicity_concept_id,"","","","",1,Person
7,Number of persons with invalid provider_id,"","","","","",1,Person
8,Number of persons with invalid location_id,"","","","","",1,Person
9,Number of persons with invalid care_site_id,"","","","","",1,Person
10,Number of all persons by year of birth by gender,year_of_birth,gender_concept_id,"","","",1,Person
11,Number of non-deceased persons by year of birth by gender,year_of_birth,gender_concept_id,"","","",1,Person
12,Number of persons by race and ethnicity,race_concept_id,ethnicity_concept_id,"","","",1,Person
101,"Number of persons by age, with age at first observation period",age,"","","","",1,Person
102,"Number of persons by gender by age, with age at first observation period",gender_concept_id,age,"","","",1,Person
103,Distribution of age at first observation period,"","","","","",1,Observation Period
104,Distribution of age at first observation period by gender,gender_concept_id,"","","","",1,Observation Period
105,Length of observation (days) of first observation period,"","","","","",1,Observation Period
106,Length of observation (days) of first observation period by gender,gender_concept_id,"","","","",1,Observation Period
107,Length of observation (days) of first observation period by age decile,age decile,"","","","",1,Observation Period
108,"Number of persons by length of observation period, in 30d increments",Observation period length 30d increments,"","","","",1,Observation Period
109,Number of persons with continuous observation in each year,calendar year,"","","","",1,Observation Period
110,Number of persons with continuous observation in each month,calendar month,"","","","",1,Observation Period
111,Number of persons by observation period start month,calendar month,"","","","",1,Observation Period
112,Number of persons by observation period end month,calendar month,"","","","",1,Observation Period
113,Number of persons by number of observation periods,number of observation periods,"","","","",1,Observation Period
114,Number of persons with observation period before year-of-birth,"","","","","",1,Observation Period
115,Number of persons with observation period end < observation period start,"","","","","",1,Observation Period
116,Number of persons with at least one day of observation in each year by gender and age decile,calendar year,gender_concept_id,age decile,"","",1,Observation Period
117,Number of persons with at least one day of observation in each month,calendar month,"","","","",1,Observation Period
118,Number of observation periods with invalid person_id,"","","","","",1,Observation Period
119,Number of observation period records by period_type_concept_id,period_type_concept_id,"","","","",1,Observation Period
